ArrivalStateNum,AlarmsArrivalNum,WarningsArrivalNum,DepartureStateNum,AlarmsDepartureNum,WarningsDepartureNum,val_byp_ep_inprmsphsab,val_byp_freq_inp,val_sys_freq_outnom,val_sys_ap_out,val_sys_ec_outrmsphsa,val_sys_ep_inpnom,val_sys_ep_inprmsphsab,val_sys_ep_outnom,val_sys_ep_outrmsphsab,val_sys_freq_inp,val_sys_freq_inpnom,val_sys_freq_out,val_sys_va_outrated,val_sys_w_outrated
0,0,0,0,0,0,206.1,60,60,2.93,13.9,208,206.1,208,208.2,60,60,60,10,9
0,1,1,0,0,0,247,59.95,60,1.67,6.8,240,246.8,240,241.6,59.95,60,59.98,20,18
0,0,0,0,0,0,244,60,60,0,0,240,243,240,244,60,60,60,20,18
0,0,0,0,0,0,203,60,60,3.31,16.4,208,203,208,207,60,60,60,15,10
0,0,0,0,0,0,201.4,59.98,60,3.81,18.1,208,201.4,208,208.4,59.98,60,59.98,8,7
0,1,1,0,0,0,209,60,60,0,0,208,209,208,208.8,60,60,59.98,15,15
0,0,0,0,0,0,206.8,60,60,1.56,7.3,208,206.8,208,209.6,60,60,60,15,14
0,0,0,0,0,0,205,59.95,60,2.66,12.7,208,204.8,208,210.2,59.98,60,59.98,12,11
1,1,1,0,0,0,207,59.98,60,3.72,17.6,208,207.5,208,209.2,59.98,60,59.98,15,14
0,0,0,0,0,0,208.6,60,60,0,10.3,208,208.6,208,204.9,60,60,60,8,7
0,0,0,0,0,0,240.7,60,60,2.48,11.3,240,240.5,240,240.2,60,60,60,20,18
0,1,1,0,0,0,215.8,59.98,60,2.7,12.7,208,216.5,208,207.3,59.98,60,59.98,8,7
0,1,1,0,0,0,207.3,59.98,60,2.97,13.9,208,206.8,208,208.4,59.98,60,60,8,7
0,0,0,0,0,0,248.8,59.98,60,1.87,7.7,240,248.8,240,240,59.98,60,59.98,15,13
0,0,0,0,0,0,208,60,60,4.94,26.4,208,205.9,208,206.3,60,60,60,12,11
0,1,1,0,0,0,195.1,59.95,60,4.27,20.2,208,195.1,208,208.8,59.95,60,59.98,8,8
0,0,0,0,0,0,214.3,60,60,4.74,21.2,208,214.3,208,209.8,60,60,60,15,14
0,1,1,0,0,0,205.2,59.92,60,3.92,18.5,208,205.2,208,208.2,59.92,60,59.95,8,7
0,1,1,0,0,0,212.4,60,60,3.11,14.6,208,212.2,208,205.1,59.98,60,59.98,8,7
0,1,1,0,0,0,205,59.95,60,2.59,11.9,208,205.2,208,208,59.95,60,59.95,8,8
1,1,0,0,0,0,204.1,59.98,60,2.61,12.3,208,204.1,208,208.8,59.98,60,59.98,8,7
0,0,0,0,0,0,205,60,60,2.68,12.7,208,205,208,208,60,60,60,8,7
0,1,1,0,0,0,207.7,59.98,60,2.32,11.1,208,207.7,208,205.5,59.98,60,59.98,15,13
0,1,1,0,0,0,207.5,59.98,60,2.76,12.8,208,207.7,208,207.7,59.98,60,60,15,14
0,0,0,0,0,0,197.4,60,60,1.75,8.1,208,197.4,208,207.3,60,60,60,20,18
0,0,0,0,0,0,206.1,59.92,60,0,0,208,206.1,208,210,59.92,60,59.95,20,18
0,1,1,0,0,0,214.5,60,60,2.7,22.8,208,214.5,240,208.6,60,60,60,15,14
0,1,1,0,0,0,238.5,60,60,13.59,55.7,240,238.3,240,241.1,60,60,60,20,18
0,1,1,0,0,0,204.6,59.95,60,2.41,11.7,208,204.6,208,211,59.95,60,59.95,15,15
0,0,0,0,0,0,238.7,59.98,60,2.9,6.7,240,238.3,240,239.2,60,60,59.98,15,14
0,1,1,0,0,0,205.5,59.98,60,3.14,14.8,208,205.2,208,208.8,59.98,60,60,8,7
0,1,1,0,0,0,211.3,59.95,60,3.2,15,208,211.3,208,209.2,59.95,60,59.95,8,7
0,1,1,0,0,0,211.8,59.95,60,3.23,14.4,208,212,208,209.2,59.95,60,59.98,8,7
0,1,1,0,0,0,208.6,59.92,60,1.61,7.2,208,208.6,208,209.2,59.95,60,59.95,8,7
0,1,1,0,0,0,212.9,59.95,60,4.12,18.5,208,213.3,208,208,59.95,60,59.95,8,7
0,1,1,0,0,0,210.4,59.98,60,2.77,13.4,208,210.2,208,208,59.98,60,59.98,15,14
0,1,1,0,0,0,198.1,59.98,60,3.91,18.9,208,198.1,208,208.6,59.98,60,59.98,12,11
0,0,0,0,0,0,207,60,60,4.1,20,208,207,208,208,60,60,60,15,13
0,1,1,0,0,0,244.5,59.95,60,0,0,240,244.3,240,240.4,59.95,60,59.95,12,12
0,0,0,0,0,0,205.5,60,60,2.8,13.8,208,205.5,208,204.3,60,60,60,8,7
0,1,1,0,0,0,205.5,59.98,60,2.91,13.6,220,205.5,220,209,59.98,60,59.98,15,14
0,0,0,0,0,0,212.2,60,60,2.6,12.3,208,212.2,208,209.4,60,60,60,8,8
0,0,0,0,0,0,201.9,60,60,4.07,19.4,208,201.4,208,210,60,60,60,8,7
0,1,1,0,0,0,205.9,60,60,3.52,17.1,208,206.6,208,206.1,60,60,60,8,6
0,1,1,0,0,0,206.8,59.98,60,2.33,10.8,208,206.8,208,208.8,59.98,60,59.98,12,12
1,1,1,0,0,0,209.7,59.98,60,2.12,10.3,208,210,208,204.3,59.98,60,59.95,8,7
0,1,1,0,0,0,207.9,59.95,60,3.08,14.4,208,207.9,208,208.8,59.95,60,59.98,8,7
0,1,1,0,0,0,197.4,59.98,60,5.27,16.1,208,198.3,208,208.2,59.98,60,59.98,8,8
0,0,0,0,0,0,240.4,60,60,4.9,18.2,240,240.4,240,240,60,60,60,15,14
0,1,1,0,0,0,207.3,59.98,60,2.47,11.6,208,207,208,209.2,59.98,60,59.98,8,7
0,0,0,0,0,0,208,60,60,1.8,14.3,208,208,208,209,60,60,60,8,7
0,1,1,0,0,0,188.4,60,60,1.66,8.1,208,188.6,208,209.2,60,60,60,8,7
0,0,0,0,0,0,207.7,59.98,60,2.76,13.2,208,207.7,208,208,59.98,60,59.98,8,7
0,1,1,0,0,0,205.7,59.98,60,2.81,13.3,208,204.3,208,208.2,59.98,60,59.98,15,14
0,0,0,0,0,0,207,60,60,2,9.4,208,207,208,208,60,60,60,5,5
0,1,1,0,0,0,204.1,59.95,60,3.12,15.1,208,204.1,208,206.7,59.95,60,59.98,8,7
0,0,0,0,0,0,241,60,60,0,0,240,241,240,241,60,60,60,16,12
0,1,1,0,0,0,210.9,59.95,60,2.12,10.2,208,210.9,208,210.8,59.95,60,59.95,15,14
1,1,1,0,0,0,203.4,59.95,60,3.24,15.2,220,203.4,220,204.3,59.95,60,59.95,8,7
0,1,1,0,0,0,198.7,59.98,60,0,0,208,199,208,207.1,59.98,60,59.98,8,7
0,1,1,0,0,0,205.2,60,60,5.09,24.2,208,205.5,208,207.5,59.98,60,59.98,8,7
0,1,1,0,0,0,213.1,59.98,60,2.58,12.2,208,213.3,208,209.6,59.98,60,59.98,15,14
0,1,1,0,0,0,212.7,59.95,60,4.17,20,208,212.7,208,209.6,59.95,60,59.95,10,9
0,1,1,0,0,0,209.5,59.98,60,0.7,0,208,209.5,208,208.2,59.98,60,60,10,9
0,1,1,0,0,0,205,59.98,60,5.11,24.5,208,204.6,208,207.5,59.98,60,59.98,8,7
0,0,0,0,0,0,204.3,59.98,60,1,4.6,208,204.6,208,207.5,59.98,60,59.98,8,7
0,1,1,0,0,0,207.3,59.95,60,5.4,21,208,207.3,208,209.4,59.98,60,59.98,12,11
0,1,1,0,0,0,198.7,59.98,60,3.1,15.2,208,198.7,208,208.6,59.98,60,59.98,15,14
0,1,1,0,0,0,210,59.98,60,2,9.9,208,210.2,208,209.4,60,60,60,15,13
0,1,1,0,0,0,203.7,59.95,60,3.26,15.2,208,203.7,208,207.7,59.95,60,59.95,8,8
0,1,1,0,0,0,202.8,59.98,60,2.85,13,208,202.5,208,207.3,59.98,60,59.98,8,7
0,0,0,0,0,0,205,60,60,3.93,18.5,208,203.4,208,207.1,60,60,60,12,11
0,0,0,0,0,0,240,60,60,0,0,240,240,240,240,60,60,60,15,14
0,1,1,0,0,0,210.4,60,60,3.1,8,208,210.6,208,208.8,60,60,60,15,14
0,1,1,0,0,0,240.7,59.98,60,0,0,208,208,240,241.1,59.98,60,59.98,12,12
0,1,1,0,0,0,205.9,59.98,60,2.59,12.5,208,205.9,208,207.1,59.98,60,59.98,20,16
0,1,1,0,0,0,203.2,59.98,60,2.23,10.2,208,203.2,208,204.9,59.98,60,59.98,8,7
0,1,1,0,0,0,241.4,59.95,60,2.49,8.9,240,241.4,240,240.7,59.95,60,59.95,15,13
0,0,0,0,0,0,204.8,59.95,60,2.26,10.7,208,204.8,208,208,59.95,60,59.95,15,15
0,1,1,0,0,0,201.6,59.98,60,3.8,15.6,208,201.4,208,208,59.98,60,59.98,5,4
0,1,1,0,0,0,206.4,59.98,60,2.63,12.2,208,206.4,208,204.9,59.98,60,59.98,5,4
0,1,1,0,0,0,204.6,59.95,60,2.24,10,208,204.3,208,207.5,59.95,60,59.98,8,8
0,1,1,0,0,0,205.9,59.98,60,23,11.9,240,205.7,240,208.8,59.98,60,59.98,12,12
0,0,0,0,0,0,210.2,60,60,0.32,1.5,208,210.2,208,208.4,60,60,60,5,5
0,1,1,0,0,0,202.8,59.95,60,3,14.4,208,202.5,208,207.7,59.95,60,59.95,8,8
0,0,0,0,0,0,213,60,60,6.4,3.4,208,213,208,209,59.98,60,60,16,14
0,1,1,0,0,0,206.1,59.95,60,3.14,14.6,208,206.1,208,204.7,59.95,60,59.95,8,7
1,1,1,0,0,0,207,59.98,60,4.49,21,208,207.5,208,208.4,59.98,60,59.98,15,14
0,0,0,0,0,0,207,60,60,2.93,14,208,207,208,208,60,60,60,8,7
0,0,0,0,0,0,203,60,60,2.27,10.4,208,203,208,207,60,60,60,8,8
0,1,1,0,0,0,204.1,60,60,3.19,15.2,208,204.1,208,208.4,60,60,60,15,14
0,0,0,0,0,0,210.2,60,60,2.25,10.9,208,210.2,208,208.4,60,60,60,8,7
0,0,0,0,0,0,211,60,60,3.67,17.3,208,213,220,210,60,60,60,7,6
0,0,0,0,0,0,201,60,60,4.42,21,208,197,208,209,60,60,60,8,7
0,0,0,0,0,0,204,59.95,60,2.7,12.7,220,204,220,209,59.95,60,60,8,7
0,1,1,0,0,0,201.4,59.98,60,4.17,19.9,208,201,208,207.3,59.98,60,59.98,8,7
0,1,1,0,0,0,204.1,59.98,60,2.18,10,208,203.9,208,208.8,59.98,60,60,8,7
0,0,0,0,0,0,207.7,59.95,60,3.55,16.7,208,207.7,208,209.8,59.95,60,59.95,8,7
0,1,1,0,0,0,202.5,59.98,60,2.68,12.7,200,202.8,200,208.6,59.98,60,59.98,6,6
0,0,0,0,0,0,208,60,60,3.17,15,208,208,208,208,60,60,60,5,5
0,1,1,0,0,0,210.9,60,60,5.35,24.3,208,210,208,209.4,60,60,60,8,7
0,1,1,0,0,0,204.1,59.95,60,1.9,18.9,208,204.1,208,209.2,59.98,60,59.98,8,7
0,1,1,0,0,0,206.6,59.98,60,1.91,9,208,206.4,240,239,59.98,60,59.98,8,7
0,1,1,0,0,0,201.4,59.95,60,3.02,14.3,208,201.4,208,208.6,59.95,60,59.95,8,7
0,1,1,0,0,0,204.3,59.95,60,3.06,14.4,208,204.3,208,210.2,59.95,60,59.98,8,7
0,0,0,0,0,0,241,60,60,2.13,10.6,240,241.6,240,243,60,60,60,15,13
0,0,0,0,0,0,210,60,60,3.24,15.4,208,208,208,210.1,60,60,60,8,8
0,1,1,0,0,0,206.1,59.95,60,2.91,13.4,208,206.1,208,206.9,59.95,60,59.98,8,8
0,1,1,0,0,0,208.6,59.98,60,4.52,21.4,208,208.8,220,209,59.98,60,59.98,7,6
0,0,0,0,0,0,205,60,60,3.41,16.6,208,205,208,208.6,60,60,60,8,7
0,0,0,0,0,0,211.3,60,60,3.08,15.2,208,211.3,208,209.6,60,60,60,8,7
0,1,1,0,0,0,206.1,59.98,60,3.07,14.7,208,204.8,208,208,59.98,60,59.98,8,7
0,1,1,0,0,0,212.4,60,60,3.17,15,208,212.4,208,207.7,60,60,60,12,11
0,0,0,0,0,0,209.5,59.98,60,3.95,18.8,240,209.5,208,209.4,59.98,60,60,12,12
0,1,1,0,0,0,211.5,59.98,60,2.61,12.4,208,211.5,208,209.6,59.98,60,59.98,15,14
0,1,1,0,0,0,214.2,60,60,0,0,208,214.2,208,209.6,60,60,60,8,7
0,1,1,0,0,0,206.8,59.95,60,3.9,23.8,208,206.4,208,207.5,59.95,60,59.98,8,7
0,1,1,0,0,0,209.5,60,60,3.61,17.2,208,209.3,208,207.7,60,60,60,8,7
0,0,0,0,0,0,208.8,60,60,3.41,16.2,208,208.8,208,209.8,60,60,60,8,7
0,1,1,0,0,0,202.8,59.98,60,1.63,7.8,208,202.5,208,211.6,59.98,60,60,8,8
0,1,1,0,0,0,205.9,59.95,60,1.87,8.8,208,205.5,208,208.8,59.98,60,60,8,7
0,0,0,0,0,0,205.2,59.95,60,1.65,8.1,208,205.2,208,208.6,59.95,60,59.95,15,15
0,1,1,0,0,0,208.8,59.95,60,2.7,12.3,208,209.1,208,206.7,59.95,60,59.95,8,7
0,0,0,0,0,0,207.3,60,60,5.79,20.6,208,207.3,208,210.4,60,60,60,12,11
0,1,1,0,0,0,208,60,60,0,0,208,208,208,209.2,60,60,59.98,12,11
0,0,0,0,0,0,209,59.98,60,3.81,18.2,208,209,208,210.4,59.98,60,59.98,8,7
0,0,0,0,0,0,206.1,60,60,6.46,24.1,208,206.6,208,209,60,60,60,15,15
